"","Model","Actual Model BIC","LM BIC","Poly1 BIC","Poly2 BIC"
"1","pt02CLOSED.rds",-9353.51788370302,7907.67504834637,1298.94345506114,-205.947436349739
"2","pt02OPEN.rds",-30827.6880289131,51342.2706131938,30319.8575795886,25975.3589639377
"3","pt03CLOSED.rds",-19157.0877438059,29918.6695975149,10415.1519397725,8331.86229004507
"4","pt03OPEN.rds",-8206.23038874091,16340.8214669584,10261.1830471537,7859.10692021834
"5","pt04CLOSED.rds",-13889.6952986431,14998.1723082637,10372.4647130205,8322.86352505371
"6","pt04OPEN.rds",-16033.1177737097,26710.8877205196,13146.0372391768,11140.5192410017
"7","pt05CLOSED.rds",-27767.0350328837,27146.2120796455,5300.09031814712,3139.66958014428
"8","pt05OPEN.rds",-24343.365241883,34278.3249852981,13309.5954375367,11920.9759829873
"9","pt06OPEN.rds",-9077.64856290896,26411.4390796292,13412.8092624473,12317.5722076815
"10","pt07CLOSED.rds",-11429.001584523,9676.11901351872,650.878940961626,-872.237227565813
"11","pt07OPEN.rds",-28475.2681575807,40199.1780893202,24532.2016118311,21588.8385674047
"12","pt08OPEN.rds",-7152.2973276281,23044.4388156554,13021.2520491748,10671.4172915926
"13","pt09CLOSED.rds",-27606.522797773,35975.4112221445,13819.8373190503,11750.6109621097
"14","pt09OPEN.rds",-10131.8013727783,32092.3901326685,24405.4525667357,23264.4987975227
"15","pt10CLOSED.rds",-13982.19647183,36860.7703433916,23599.3243593838,22825.9725108508
"16","pt10OPEN.rds",-7128.56929465658,13749.5147327335,5030.21508472266,3500.62757505121
"17","pt11CLOSED.rds",-6764.17238111561,9786.36269433337,6330.53401118863,6366.9193132129
"18","pt11OPEN.rds",-9074.95832049184,14347.0658376976,5463.60462245889,4272.22003724819
"19","pt12CLOSED.rds",-8270.31696966162,23146.2441023194,15062.8668471118,13867.0072968534
"20","pt12OPEN.rds",-29630.9853303369,41138.3531782295,14254.3023472133,7901.03176014498
"21","pt14CLOSED.rds",-6250.43909555701,10467.2648014128,5521.76463068429,5005.87613308014
"22","pt14OPEN.rds",-20173.2050407793,24613.8888854022,6304.99996051505,2552.05556376248
"23","pt15CLOSED.rds",-3088.15652234138,12094.1012498431,8556.32775097687,7494.55778555056
"24","pt15OPEN.rds",-14198.9590217723,20624.1515119985,6841.79837892229,4361.41372598854
"25","pt16CLOSED.rds",2646.24058616014,9845.61129321286,8409.30777954004,8320.87552331686
"26","pt16OPEN.rds",-16752.0545462459,60238.7106289906,35404.4949226398,30377.7992885342
"27","pt17CLOSED.rds",-23867.3947887316,13283.5859012903,-3054.55665246268,-3866.35182625354
"28","pt17OPEN.rds",-20052.2013982302,38216.4426823487,12987.0866993439,10706.0097891684
"29","pt18CLOSED.rds",-26103.900048266,31253.3919456609,5650.27102996675,3181.63476154965
"30","pt18OPEN.rds",-45425.9629670444,91287.814541148,49531.0629402908,45466.9775599636
"31","pt19OPEN.rds",-9947.44883658833,29976.2070506692,22694.422188053,20077.285553509
