"","Model","CV_MAE","Model_MAE"
"1","pt01OPEN.rds",0.292802659671066,0.503835224643418
"2","pt02CLOSED.rds",0.106544486119782,0.0990358879617481
"3","pt02OPEN.rds",0.32555000434758,0.324129666633639
"4","pt03CLOSED.rds",0.226769995429628,0.215133900766417
"5","pt03OPEN.rds",0.318035546013779,0.302014409733581
"6","pt04CLOSED.rds",0.481037194994309,0.477673028659763
"7","pt04OPEN.rds",0.310296859138914,0.305002677699739
"8","pt05CLOSED.rds",0.167673072499448,0.159806199258995
"9","pt05OPEN.rds",0.267660051723731,0.258320207515941
"10","pt06OPEN.rds",0.33865630497868,0.323091525788706
"11","pt07CLOSED.rds",0.0975847954097503,0.087230954997763
"12","pt07OPEN.rds",0.347779105022954,0.343789638446198
"13","pt08OPEN.rds",0.343861625374971,0.330071305481461
"14","pt09CLOSED.rds",0.17010716821426,0.166024780344161
"15","pt09OPEN.rds",0.575636439861933,0.570839558584384
"16","pt10CLOSED.rds",0.455207839786275,0.443011217279069
"17","pt10OPEN.rds",0.234325215173195,0.222267856472517
"18","pt11CLOSED.rds",0.360077644909257,0.344956347536982
"19","pt11OPEN.rds",0.227532151810337,0.214732133899449
"20","pt12CLOSED.rds",0.385833937236698,0.365737690807154
"21","pt12OPEN.rds",0.216195630020172,0.202145697954652
"22","pt14CLOSED.rds",0.301057398604696,0.281999503623146
"23","pt14OPEN.rds",0.179211277545139,0.168997766271715
"24","pt15CLOSED.rds",0.432465906525344,0.415792000277896
"25","pt15OPEN.rds",0.215310805917503,0.205418646891709
"26","pt16CLOSED.rds",0.862147853759822,0.794947576946536
"27","pt16OPEN.rds",0.448224205863511,0.44395106483761
"28","pt17CLOSED.rds",0.0815136303357243,0.0746495367212807
"29","pt17OPEN.rds",0.238384439404597,0.232889210762549
"30","pt18CLOSED.rds",0.157807352155478,0.151243244245911
"31","pt18OPEN.rds",0.357480452225314,0.355041646521645
"32","pt19OPEN.rds",0.493941309767623,0.485561019016505
"33","pt20CLOSED.rds",0.344688603311928,0.3127134386296
"34","pt21CLOSED.rds",0.249713260431272,0.233615798491456
"35","pt21OPEN.rds",0.37278314719116,0.358227055246917
"36","pt22CLOSED.rds",0.449966850657237,0.423533113290256
"37","pt22OPEN.rds",0.708380727866717,0.695580538957676
"38","pt23CLOSED.rds",0.138007644326012,0.127758565197245
"39","pt23OPEN.rds",0.209572496038888,0.200166480194717
"40","pt24CLOSED.rds",0.228868897851062,0.208119495832102
"41","pt24OPEN.rds",0.283757781874131,0.27890165148896
"42","pt25OPEN.rds",0.859436512676177,0.855828979659684
"43","pt26OPEN.rds",0.244146326747086,0.234798899611298
"44","pt27OPEN.rds",0.195162264637046,0.187754669680402
"45","pt28CLOSED.rds",0.359079610668913,0.329871525560229
"46","pt28OPEN.rds",0.328634230523707,0.31693226325335
"47","pt30OPEN.rds",0.315589011517155,0.309078735663051
"48","pt31CLOSED.rds",0.119642865575793,0.103309545063598
"49","pt31OPEN.rds",0.686947102947448,0.687503487637747
"50","pt32CLOSED.rds",0.847900009207613,0.806661309979735
"51","pt32OPEN.rds",0.31479292517093,0.309836070691663
"52","pt33OPEN.rds",0.160724342049022,0.156910815428313
"53","pt34OPEN.rds",0.245587127284115,0.233805831089048
"54","pt35CLOSED.rds",0.349961168794817,0.33377194177595
"55","pt35OPEN.rds",0.376337668586071,0.36578232387902
"56","pt37CLOSED.rds",0.317302267027843,0.280011571308135
"57","pt37OPEN.rds",0.614921163796954,0.603668514526868
"58","pt38CLOSED.rds",0.254176740679225,0.237529257727308
"59","pt38OPEN.rds",0.36644895623611,0.359646916725191
"60","pt39OPEN.rds",0.281712176756943,0.273046216873795
"61","pt40OPEN.rds",0.193741544129545,0.190691284598625
"62","pt41CLOSED.rds",0.325499379664287,0.313092561132992
"63","pt41OPEN.rds",0.196905360960382,0.187948595658482
